territory, volleyball, partner, sidewalk, trucks, trip, band, digestion, bubble, nest, note, touch, sun, birthday, wealth, hospital, drum
0, 161048401, liquid, -27.619141, k, 2, -0.635742, 0, 1, 0, 1, 9970, 0, 31125, ffffffffffffdf1b, 1, -0.034698
1, -19, ring, -0.013672, n, 106, -1.547852, 1, 0, 0, 0, 1021, 16, -7, 568462dde380, 0, 0.105927
1, -4, leg, 1809.246094, ], 15, 65081.382812, 1, 1, 0, 1, 2, 0, -597, 7e00d87564ba3, 0, 0.048828
0, 1052, women, 0.230469, N, 113, 0.044922, 1, 1, 0, 0, 2820, -1, -15717176, ffffffffffff17ee, 0, 0.000000
0, 16715, frogs, -102218.439453, T, 93, 70.977539, 1, 1, 0, 0, 485, 13, 54983, fffffffffe92f55d, 0, 0.029358
0, 19094615, plot, -16062.380859, _, 0, -0.021484, 1, 1, 1, 1, 25668, -69, -328539, ff9f0bd6d7335b74, 1, 0.001892
0, 88018401, drain, -3.808594, ], 121, 0.006836, 0, 0, 1, 0, 2061, -1, 121, dfea58612, 0, -385.321655
1, -511762, size, 43.783203, T, 6, -343.413086, 0, 0, 1, 1, 31103, 0, -1757, ffffffffffffffff, 0, 44.967865
1, -71354893, turkey, 325016.937500, D, 19, 10.360352, 0, 0, 1, 1, 0, 16, -11, 374c65e804, 1, -0.000031
0, -355, leg, -94648.259766, 0, 10, -0.041992, 0, 1, 0, 1, 947, -2, -62751659, ffffff3f6515e7f2, 0, 0.019165
1, 189078, , -792.210938, Q, 20, 52503.968750, 0, 0, 1, 0, 1, 39, -58007789, fffffcbe9e42e496, 0, 4.250427
1, -1, money, -0.392578, L, 179, -0.889648, 0, 0, 1, 1, 12588, -7, 4515, fffffffffff2c5dc, 0, 0.014282
0, 3466, death, 0.003906, 1, 24, 1385.497070, 1, 0, 1, 1, 2, -1, -32425, ffffffffffffee58, 1, 10.702057
0, 53737, crate, 0.328125, |, 198, -1.382812, 1, 1, 1, 1, 3200, 0, -3212, 3c3aa24487, 0, -32.247498
1, 17339510, jump, -0.220703, Z, 122, 2.832031, 1, 0, 1, 1, 5, -12, -523931, fffffffff9a0584d, 1, 15.331573
0, 69294122, church, 190417.781250, e, 144, 0.002930, 1, 0, 1, 0, 5790, -3, -518003473, 45f88d09d2c98, 0, -0.023926
1, 216919, hook, 143.599609, =, 10, -0.009766, 0, 0, 0, 1, 6410, -105, 414, fffffd4abb2bd2f7, 0, -0.000977
0, 953, night, 50639.365234, J, 3, 2037.315430, 1, 0, 0, 0, 37068, -8, -2, febfacb7dc0b5109, 1, -26.848358
0, 7012, ear, 11.681641, K, 1, 100507.328125, 0, 0, 1, 0, 55413, 3, 10, fffffffffffffd77, 0, 124.920288
1, -310301, frog, -117.906250, 1, 23, -0.003906, 1, 1, 1, 0, 2490, -21, 3, 52529c48970, 1, -0.001068
0, 1940910038, detail, -0.005859, h, 1, 0.096680, 0, 1, 0, 0, 811, -2, 9069, ffffffffc3b40389, 1, -0.000000
0, 5795, home, -0.013672, L, 103, 157.563477, 1, 0, 0, 0, 4842, -2, -199742, fffffff623f5cb47, 1, 0.002014
1, 392934, trail, 1.445312, V, 2, 3.941406, 0, 1, 0, 0, 2928, 1, -5546216, fffffffffffffffd, 1, 0.015930
1, -105458762, value, -114612.779297, v, 2, -0.042969, 1, 1, 1, 0, 3, 0, 6753329, fc2be37dfce04cc2, 1, 6366.672852
1, 1050, skate, -441.552734, l, 5, 7.357422, 0, 0, 1, 1, 126, -27, -7, 476, 0, -429.155579
0, 5680415, church, 0.533203, C, 45, 0.873047, 0, 0, 0, 1, 4, -2, -11245, 33948779f, 0, 0.000214
0, -1526110, coach, -0.017578, l, 60, 0.157227, 0, 0, 0, 0, 59, -13, -199015602, 8aea7a7, 0, 11775.273438
1, -127, bun, 64.580078, ], 1, 33.825195, 0, 1, 1, 0, 4288, 3, -2, 6ef33554a2, 1, -0.000214
0, -3032104, board, 3.011719, N, 5, 440034.250000, 1, 0, 1, 1, 30784, 0, -1306, 9f, 0, 0.003448
1, -569, knife, 321.167969, S, 1, 58860.789062, 0, 1, 0, 0, 2030, 15, -2103244, 2e43645edd53c57, 1, 0.349884
1, -235, crowd, -290.615234, H, 5, -0.036133, 1, 1, 0, 1, 491, 53, -1779, 3201b256, 0, 0.000732
0, -75909634, thing, 1605.773438, =, 3, -150116.453125, 1, 0, 0, 0, 0, -5, -49440, 1e820b, 0, 0.000031
1, -1, border, -0.232422, g, 0, 0.000977, 0, 0, 0, 0, 5, 7, 15936, fe727ed7d2fe4342, 0, 941.142273
0, -71354893, turkey, 325016.937500, D, 57, 10.360352, 0, 0, 1, 1, 0, 16, 1, 10ad6343a, 1, -0.000031
1, -4739743, drain, -0.117188, ], 121, 0.006836, 1, 0, 1, 0, 10, -12, -29, dfea58612, 0, -385.321655
0, -350039, net, 138.242188, R, 8, -53210.363281, 1, 1, 1, 0, 10, -1, 87896, fffffe570dd21597, 1, 0.000000
1, -15, verse, -1400.458984, C, 1, 3645.217773, 1, 0, 0, 0, 1728, 26, 21284775, fffbdaa5f0242d23, 0, -14429.123047
1, 615796, stream, -0.001953, ., 0, -86.886719, 1, 1, 0, 0, 1, -60, -3369, fec76a10aff08bc8, 1, 0.000458
1, -23637580, cellar, -201.242188, o, 4, -86783.671875, 0, 1, 0, 1, 2, -2, -858, fef2eb9698d417a0, 1, -0.000366
0, 0, toe, 0.181641, K, 4, -0.002930, 1, 1, 0, 0, 12484, 7, 765721186, ffffffffffffffc3, 0, 0.000031
0, 18656, locket, 0.337891, ), 15, 0.015625, 1, 0, 0, 1, 27, 1, -157105, 1276b63bbc87, 1, -0.000427
1, 3556183, art, -0.017578, Q, 2, 99.225586, 0, 0, 0, 0, 624, 7, 37, 34f5, 0, -0.000000
0, -757195, amount, 773762.416016, X, 25, 860489.187500, 0, 1, 0, 1, 3, 0, 254, ffffffffffffe584, 1, -3691.047363
1, -666582, , -7432.638672, &, 4, 1477.845703, 0, 0, 1, 1, 3085, -16, 5503, fffffff95e9eb41c, 1, 0.000275
0, -29, join, 98.617188, 0, 51, 0.000977, 1, 1, 1, 0, 94, 27, -3750, 1194, 1, -0.002167
1, 206, houses, -0.019531, 7, 3, 0.042969, 1, 1, 0, 0, 9226, 2, -6, 0, 0, -0.036926
0, -2, army, 0.009766, (, 11, -0.211914, 0, 1, 1, 1, 7, -4, 248006890, 5abeb80692d, 1, -0.001526
1, 658459959, cake, -0.458984, 2, 2, -3015.999023, 1, 1, 1, 1, 0, -1, -199922805, 328f512fc1187d, 0, -2.845001
0, 278485, snow, 5063.164062, v, 0, -0.483398, 1, 1, 0, 1, 37, -13, -89069175, fffffffffffffff8, 0, -0.868896
0, -23996691, , -7367.564453, M, 13, 67418.773438, 1, 0, 1, 1, 13314, 0, -25, fffffffeee741879, 1, 0.006378
0, 682, book, -0.001953, X, 10, 9268.183594, 0, 0, 1, 0, 790, 0, 2403060, 24b1726, 0, 882.578735
1, -63302, hot, 0.087891, /, 164, -259.894531, 1, 0, 0, 0, 0, 0, -119136461, fffffd09b6cbf7a0, 1, 7626.821289
1, -13, dress, 3.093750, 9, 15, 3022.366211, 1, 1, 1, 0, 27, -1, 446800, fffffffffffff0a6, 0, 0.002686
0, -428, year, -0.056641, *, 16, -385.769531, 1, 0, 0, 1, 439, 39, 469709, 1a523208e4118, 1, -657.696411
1, -3, frame, 0.001953, Q, 3, 0.001953, 1, 1, 0, 1, 0, 4, -50, 1c8f320abe166aa0, 0, 2706.189209
0, 9, lock, -485019.824219, r, 156, 0.057617, 0, 0, 1, 1, 0, 36, 306121, 22e, 1, 1394.802490
0, 23, girls, -16.404297, U, 2, -2.613281, 0, 1, 0, 0, 0, -92, -4780, 9ed62, 0, -0.287872
0, 211921, gate, 1104.740234, !, 19, -0.001953, 0, 1, 0, 0, 20, 14, 4065744, 68ee, 1, -0.000031
0, 94302, cars, 12231.935547, %, 5, -309.971680, 1, 1, 0, 1, 360, 0, 0, 11c0a, 0, 0.001678
1, -175066, show, 619967.937500, :, 19, 93.295898, 0, 1, 1, 0, 16291, -36, 3, fcfea4ecd4184d96, 1, -0.017944
0, -12917, hope, -113.154297, b, 6, -27.322266, 0, 1, 0, 0, 14, -76, 109134471, fffffffffffffffe, 0, -183.411621
1, 14050, water, -0.287109, x, 1, 35.123047, 1, 1, 1, 1, 27, -1, -1, e1453559ddf536c6, 1, -0.221893
0, -70, blade, -0.822266, !, 7, -1312.888672, 0, 0, 1, 0, 5169, -2, -3, ffffffffffffed95, 1, 0.000336
1, 3613, locket, 0.337891, ), 15, 0.009766, 0, 1, 0, 1, 0, -1, -211015, 1276b63bbc87, 0, -0.000427
0, -6571, range, 0.113281, %, 1, 13.085938, 1, 0, 0, 0, 196, 3, -261, fffffffffffffff9, 1, -1874.724121
0, -34172, toy, -11983.121094, W, 31, 45.105469, 1, 0, 1, 0, 47, 59, 25866, fffffff6648f4ea9, 1, -0.037201
1, -6910, recess, -6.652344, %, 88, -238.354492, 1, 0, 0, 1, 42, -19, 42, fffffffffffffffc, 1, -101.734406
1, 222924, debt, -1037333.275391, p, 54, 0.000977, 1, 0, 1, 0, 6951, -113, -278775, ffffffffffffffe0, 0, -0.000061
0, -2067, , -0.142578, L, 1, -11021.225586, 1, 1, 1, 0, 74, -3, -91388, ffffffffffffe2bc, 0, 0.232513
0, 0, church, 190417.781250, e, 37, 0.002930, 1, 1, 1, 1, 5790, 7, 39379862, ace080, 0, -0.023926
0, -7, ring, 3123.201172, w, 2, 2334.583008, 0, 1, 0, 0, 0, 1, -22652904, fffffffffffffffc, 1, -0.013458
0, 34456932, sheet, -0.003906, u, 7, -0.005859, 1, 1, 0, 0, 13, -4, 9875769, a0e6c978fca5f015, 0, -178.556458
1, 291, fuel, -0.029297, m, 62, -0.000000, 1, 1, 0, 1, 19, 44, -69981642, 1, 0, -0.397430
0, -57, cat, -564.824219, !, 3, 0.056641, 0, 1, 0, 0, 407, -29, 5162307, 906bedc4775319, 1, 2766.992676
0, -122619578, attack, -81214.656250, 5, 2, 6.707031, 0, 1, 0, 1, 224, -1, 1911, ffffffffffe4c63c, 0, -0.561798
1, 186449, marble, -1107.275391, }, 11, 0.352539, 0, 1, 1, 0, 700, 44, -20122, fffffffffffffff5, 0, -0.097504
0, -190627474, drop, -1.619141, B, 7, -0.773438, 1, 1, 0, 0, 272, -123, -34669, 6aaecd09b44, 0, -0.047058
1, -4, shame, 9859.486328, 6, 117, 0.422852, 1, 0, 1, 1, 4501, 10, 11, 128755ee45f6d9, 0, 0.340210
0, -2576, breath, 254.541016, i, 5, -0.743164, 0, 0, 1, 0, 28, -3, -37, fffffffffffffcce, 0, 8798.375000
0, -164, ink, 0.029297, d, 3, 251320.609375, 0, 1, 1, 1, 351, 0, -143891823, 4a3cbf6fee42e6, 0, 2802.688477
0, -5, sponge, -1221829.132812, [, 0, 1876.092773, 1, 1, 1, 0, 2206, 0, -2, 88fa4faccb7821be, 1, -6853.700684
0, 27979138, cause, 62751.267578, u, 92, -0.001953, 1, 0, 1, 0, 182, 0, -15317, fffffffff94636d7, 0, 0.001099
0, -18983905, , 5.048828, L, 74, -11021.225586, 0, 1, 1, 0, 10238, -1, 78899, fff5f948213e8873, 0, 0.232513
1, -50332771, tin, 38256.660156, n, 0, 18.161133, 0, 1, 0, 0, 1668, -3, 21098106, ffffffffef5c64a1, 0, 6.381592
1, -52625, kiss, 1.533203, x, 3, 0.613281, 1, 1, 1, 1, 5, 11, 7, ffffffffffe7b578, 1, -1265.225464
0, -60, clouds, -1.417969, d, 1, 0.084961, 0, 0, 1, 1, 421, 0, 825809, 6a37e09d, 0, 2569.392578
0, -26, cry, -997.291016, -, 2, -0.024414, 0, 0, 1, 1, 3073, -2, -1, fffffff92f4da279, 1, 0.004822
1, 98813, mist, 220.533203, >, 105, 0.989258, 0, 0, 0, 1, 5211, -61, -2, fffffffffecc9e34, 1, -0.031647
1, -18252, gun, 15974.316406, _, 7, -21202.988281, 0, 1, 0, 1, 1827, -1, -13015355, ffffffffffffffff, 1, -7341.797363
0, -141503, print, 0.005859, p, 31, -501.779297, 1, 0, 0, 1, 2, -11, -1216134156, ffffffffffff4135, 1, 0.032990
0, -598475, cloth, -0.171875, /, 22, -6045.395508, 0, 0, 0, 1, 19781, 1, -106608619, ffffffffffe8f899, 0, -0.000092
1, -71354893, turkey, 325016.937500, D, 19, 10.360352, 0, 0, 1, 0, 1044, 16, -11, fffea1d5e8b6e881, 1, -0.000031
0, -7243927, church, -0.025391, e, 24, 0.002930, 1, 0, 1, 1, 5790, 2, 86125525, fffffffe9bf90bd0, 1, -0.023926
0, 291957190, drain, 0.017578, w, 184, 7423.309570, 1, 0, 0, 1, 462, 3, 16, fffa6ac19e38b93b, 1, -0.001343
1, 10, baby, 47920.623047, $, 28, 14.290039, 0, 1, 0, 0, 3893, -1, -11, 22710db3a989f0, 1, -298.927032
0, 117724998, fly, -89265.576172, -, 15, -3.691406, 1, 1, 1, 0, 8, -11, 2420, 1a57a50b552e, 0, 0.000854
0, -27595, room, -0.990234, r, 112, -58219.878906, 1, 1, 1, 0, 154, -116, 2035, 536, 1, 38.767822
1, 30471, pizzas, 21.724609, H, 96, 0.149414, 0, 0, 0, 1, 0, -2, 1575261, fffffffffffffe2c, 1, 1.088562
0, -9, kite, 4799.226562, #, 1, -0.965820, 0, 0, 0, 0, 627, 1, -138, 4a60ab293, 0, -5504.483887
1, 8213747, curve, 4.177734, [, 5, -0.090820, 1, 1, 0, 0, 18, -1, 26453630, fffe0782dbbb777c, 1, 0.002258
1, -2019747324, start, -28.412109, m, 6, -57207.250000, 1, 0, 0, 1, 371, -12, 21, deb5ac4ed120be7, 0, 3.177521
1, 6, day, 18304.228516, p, 1, 1.408203, 0, 1, 0, 0, 5, -7, 0, fecdffa396d53dcd, 1, -15907.112305
0, -183496095, plot, 0.005859, -, 1, -0.079102, 0, 1, 0, 0, 9, 50, 37243, fffffffffe4912f6, 1, -0.000214
1, -239719, veil, -3744.871094, C, 212, -1.642578, 0, 1, 0, 0, 24675, -13, -2172852, fffffffffdd50764, 0, 3.862457
0, -11700378, noise, 0.076172, R, 5, -0.000977, 1, 1, 1, 1, 5, 1, -199, fffffffffffffffb, 1, -0.010925
0, 249518, shop, 42.363281, q, 4, -1.408203, 0, 0, 0, 0, 49, -31, -1237713448, ffffffffffffecd7, 1, 164.936096
0, 6, goat, -65.193359, I, 58, -0.000000, 1, 0, 0, 1, 14096, 23, -306517234, fffffffffffffff3, 1, -12.395447
0, 79, news, 3.328125, {, 0, 39405.765625, 0, 1, 1, 1, 3250, 6, -389498, ffffffff22385a9e, 0, -0.302856
0, -1, border, -0.232422, g, 0, 0.000977, 0, 0, 0, 0, 5, 7, -16536052, fe727ed7d2fe4342, 0, 941.142273
1, 3533, train, 1.783203, @, 73, 0.000977, 0, 0, 1, 1, 1862, -1, -7, 3c5, 1, -23.433136
0, -165, , 45723.837891, K, 229, 19552.875000, 1, 0, 1, 1, 6, -30, -86274, 71c7b6f946, 0, 0.009918
1, 3556183, art, -0.017578, Q, 2, 99.225586, 1, 0, 0, 0, 60, 7, -3962, ff7174b071e1d56d, 0, -0.000000
1, 5, , 2882.085938, 2, 142, 0.000000, 1, 0, 1, 0, 2, -2, 1, 342deca208, 0, -0.000183
0, 0, shoes, 2959.818359, ^, 1, 0.038086, 0, 1, 0, 0, 246, -3, -2447, 55470e665bf0b, 0, 0.000458
0, 2923, boys, -118.085938, 8, 0, 0.000977, 1, 1, 0, 0, 178, 115, 1666302, 152395, 0, -0.000031
0, 7156, porter, -0.001953, M, 3, -1916.303711, 1, 0, 0, 1, 6, 12, 230882, 31d1bb4, 0, 2305.380859
0, 1341, spade, -24128.558594, i, 6, 0.028320, 0, 1, 1, 1, 310, 45, 189, f4ca19aeaf4ee247, 1, 101.426941
0, -26, cry, -997.291016, -, 2, -0.024414, 0, 0, 1, 1, 3073, -2, -1, 5dfe4aa2864, 1, 0.004822
0, -1, bomb, 0.179688, ), 9, 132.176758, 1, 0, 1, 0, 39, -3, -25905946, ff049c9, 0, 5.159332
0, 217021951, woman, 1562.753906, E, 18, 0.425781, 1, 1, 0, 0, 1998, 30, -1524159, ffffffffffffe981, 0, 0.000122
1, 385860407, income, -2695.529297, ;, 3, 22440.285156, 1, 0, 1, 1, 6, -4, 314, 2b94, 1, 14.419006
0, 2026283, sign, 1598256.314453, :, 8, -0.000977, 1, 0, 1, 1, 3859, 0, 5728241, fffffffffffffffe, 0, -10.303192
1, 486459, badge, -1469.066406, p, 40, -0.013672, 1, 1, 0, 0, 487, 0, 84, ffffffffffbc13c3, 1, -0.002045
0, -104718751, cause, 5714.255859, R, 5, 14633.564453, 0, 0, 1, 0, 2, -25, -25708, 4801fc0565, 0, -23188.332031
0, 291957190, drain, 7.330078, w, 0, -0.000977, 1, 0, 0, 1, 19955, 3, 16, fffffffe536b5206, 0, -0.001343
1, 11, house, 0.003906, i, 1, 28.437500, 1, 0, 0, 0, 7480, -2, 7, ffffffffffffff68, 1, -0.000488
1, 2895, cows, -662.087891, _, 1, -635.172852, 1, 0, 1, 1, 2, -27, -1403, ffffffffff369910, 1, 414.050110
1, -124414, frog, -117.906250, 1, 23, -0.003906, 0, 1, 1, 0, 24, -21, 7840, ffe79229a3d15038, 1, -0.001068
0, 152, flavor, -0.011719, &, 6, -0.958984, 0, 1, 0, 0, 7, -15, -18175740, ce468f, 0, -108.232605
1, 70, cap, -664761.822266, G, 112, 0.018555, 0, 0, 0, 1, 435, -3, 1, ffffffffffe34fff, 0, 0.028290
0, -9710, trains, 27.101562, T, 13, -141828.218750, 0, 0, 0, 1, 1863, -117, -2037061504, ffe566146e167cde, 0, -49.236267
1, 5972, badge, -1469.066406, p, 40, -0.013672, 1, 1, 0, 0, 4, 0, -6090703, fc7fa, 0, -0.002045
0, 270780762, camp, 24738.058594, f, 14, 0.037109, 1, 1, 0, 1, 1, -11, -11030098, fffffffffffffe36, 0, 0.000031
0, 71983, linen, -0.271484, 2, 12, 223210.375000, 1, 1, 1, 0, 857, 21, 7196252, ffffffffffffff4f, 1, 0.449646
1, -2, , 127.759766, u, 46, 0.007812, 0, 0, 0, 0, 9106, -2, -182786085, fffffffffffffffb, 1, 0.000702
0, -3599, tail, -503.955078, :, 124, -490980.281250, 0, 1, 1, 1, 516, 3, -1, fff1614659f06a4d, 1, -5.480530
0, -153737491, push, -0.039062, :, 59, -3336.593750, 0, 1, 0, 1, 0, 16, 29604, 969bd54, 0, -445.319336
1, -47, team, 321.123047, 6, 0, 32.584961, 0, 1, 0, 0, 31570, -1, 26, 3482393, 1, -0.000732
1, -148436, mark, -18086.705078, ], 1, -1.995117, 0, 1, 1, 1, 4985, 30, -8080634, 1d86d6ecb7fd1ec, 0, 101.449615
0, -2, salt, -155392.751953, >, 20, 210601.953125, 0, 0, 0, 0, 27, -1, -1889, 552f5255337, 0, -0.031860
0, -153737491, push, -0.039062, :, 59, -3336.593750, 1, 1, 0, 1, 0, 16, 29604, 0, 0, -445.319336
1, 773022384, , -91776.330078, r, 32, -45575.410156, 1, 1, 1, 0, 6, 0, -111488, ffffffffff66381d, 0, -12.566925
0, 0, desire, -22066.378906, c, 2, 0.736328, 1, 0, 1, 0, 614, 38, 182, ffffb4c33b9bfcbe, 0, -32519.660156
0, 0, , 125.162109, }, 1, -214.119141, 1, 1, 0, 0, 19403, 1, 599186213, ffffffffffff1f0e, 0, -0.000763
1, -211, , 0.511719, #, 49, 47.555664, 1, 1, 1, 0, 18444, -45, -1, ffffffffffffffff, 0, 0.068298
0, -1, , -432285.828125, ), 14, 904357.875000, 1, 0, 1, 0, 10, 0, -1715, fffffffff88fdbeb, 0, -2559.040039
1, -1, attack, -0.029297, 5, 2, 6.707031, 0, 0, 0, 0, 609, -1, -2, fffffdcbba6e0ea6, 0, -0.561798
1, 6274786, owl, -0.007812, l, 1, -21.547852, 1, 0, 0, 0, 2, -14, -787706, 271b, 0, -0.000031
1, 495219520, pipe, 80.484375, W, 7, -0.024414, 0, 0, 1, 0, 10, -7, -939505110, e86f9e6aca65a2, 0, 49.788605
0, -47, value, -395314.371094, d, 58, -12.232422, 1, 0, 1, 1, 158, 3, -181, ffffffff4a9c2ce8, 0, -0.157562
1, 671529379, glue, -8.679688, G, 39, -0.043945, 0, 1, 1, 1, 188, 1, -47716, ffffffffc123cbd5, 1, -982.669922
1, -2487394, army, -100.876953, (, 96, 5039.029297, 0, 0, 1, 1, 470, -68, -281381, c87b4b26150, 0, -0.001526
1, 4198, join, -183973.412109, v, 91, 0.000977, 0, 0, 0, 0, 14251, 5, 6583337, ff8344e28d7256b4, 0, 0.001038
1, -45188, feet, -55444.189453, =, 14, -0.000977, 0, 1, 1, 0, 0, -35, -166909, 3532f7f, 0, 0.002899
0, -12969, ink, 217.945312, 9, 15, 0.000977, 1, 0, 1, 1, 3381, -1, -299, ffffffffffffffff, 0, 7463.871582
0, 16645780, show, 619967.937500, :, 19, -0.030273, 0, 1, 1, 0, 0, 9, 3, e879ac8434fafd, 1, -0.030792
0, -7, river, 14.916016, 8, 3, 114268.968750, 0, 0, 0, 1, 3, -120, -23466330, fffffffe04e879c5, 0, -897.882935
0, -38, breath, -0.058594, ., 3, -0.029297, 0, 0, 1, 0, 40, -1, 20824, 2827354a7, 1, 3784.520264
0, -1, light, -0.373047, H, 1, -0.565430, 0, 0, 1, 1, 77, 0, 83254, 3b00c53e223e12, 0, 2.609283
0, -1239, parcel, -1.273438, J, 0, 113.324219, 0, 0, 0, 1, 3950, -2, -628853, 73c827438bf284e, 1, -26.848358
0, -37, paper, 0.220703, V, 31, -30.881836, 1, 0, 0, 0, 3, 0, 1022178, 1ccb6f61fe9, 1, 0.614807
0, 13367, alarm, -173920.291016, R, 13, -0.061523, 1, 1, 1, 1, 181, -10, -20678179, 1b08585b648515a, 1, 0.000061
0, -158262631, cause, -0.001953, u, 1, -0.001953, 0, 0, 1, 0, 0, -59, -487868, fffffffff94636d7, 0, 0.001099
