territory, volleyball, partner, sidewalk, trucks, trip, band, digestion, bubble, nest, note, touch, sun, birthday, wealth, hospital, drum
0, -1, pot, -966038.878906, Q, 0, 1.000000, 1, 0, 1, 0, 43, 0, 110867, fffffffffffffff5, 1, -18704.812500
1, 639, view, -0.035156, G, 191, -8099.157227, 0, 1, 0, 1, 6, 42, 4, 81bbb13, 0, -265.247284
1, 993, flesh, 26.720703, 9, 0, -13.067383, 0, 0, 0, 1, 492, -5, -15547026, 82b632f167a16649, 0, 914.138855
1, -14923, fact, 0.001953, }, 1, -0.760742, 1, 0, 0, 1, 1, -3, -51, 1, 1, 7550.184570
1, 10, scene, 0.417969, ?, 56, 6293.919922, 0, 0, 0, 1, 447, 5, 15380496, ffffffffffffffce, 0, 0.000000
0, 1692290, food, 0.132812, d, 68, -2270.800781, 0, 1, 1, 0, 4047, 7, -2, 7406, 0, 109.300140
1, 0, vase, 50.453125, r, 7, -59.870117, 0, 1, 0, 1, 30, -34, 1021140560, 4ffa24133a, 0, 0.003601
0, 1, string, 1918576.904297, j, 0, 452207.687500, 1, 1, 1, 1, 67, -46, 24453706, 5fcc815a1c6d9d7e, 0, -311.885773
0, -47, sponge, 10.501953, J, 40, -46.816406, 1, 0, 0, 0, 56, 29, 5, 695581c55c15, 1, 1.281677
0, 1188095270, food, 0.132812, d, 68, -2270.800781, 0, 1, 1, 0, 0, 7, -2, 0, 0, 109.300140
0, 1, reason, 0.142578, j, 0, -0.000977, 0, 1, 1, 1, 959, 17, 24453706, fffff97149c12923, 0, -1.515930
1, 900542, coat, -97.685547, +, 25, -446.003906, 0, 1, 1, 0, 507, 12, -8, fff4cac4a10a7577, 0, 1.000000
0, -205482261, , 0.357422, o, 1, 241670.562500, 1, 1, 1, 1, 11, -19, -369488, ffe5d22c42f2858f, 1, 0.009552
1, 3075, planes, 0.417969, ?, 51, -148.805664, 0, 1, 0, 1, 1, 1, 15380496, ffffffffffffffce, 1, 0.000000
0, -109, dad, -61063.343750, +, 25, 198.219727, 0, 0, 0, 0, 1, 1, -154045127, 3b, 1, -41.464294
0, 0, vase, 50.453125, r, 7, -59.870117, 0, 1, 0, 1, 30, -34, 1021140560, 4ffa24133a, 0, 0.003601
0, -5042, wren, 0.000000, Q, 104, -0.000977, 1, 1, 1, 1, 745, -9, -2020, ffffffffffffe467, 1, -0.000092
0, 639, engine, 1.000000, G, 27, 412231.031250, 0, 1, 0, 1, 56, 0, 9698550, 7ebf77666, 1, 0.000275
0, 993, flesh, 26.720703, 9, 0, -13.067383, 0, 1, 0, 1, 492, -5, -90, fffffffcd39a5263, 0, 914.138855
0, -14086417, writer, 845.986328, ?, 56, 6293.919922, 1, 0, 0, 0, 189, -1, 0, 18d22a75464, 1, -602.290955
0, -14086417, pets, 1.000000, ?, 59, 59998.234375, 1, 0, 0, 0, 189, -1, 0, 1, 0, -602.290955
1, 6, veil, 50.453125, z, 0, -59.870117, 0, 1, 1, 0, 5, -15, 2175243, ffffffffffffffff, 0, -375.827087
1, 211484, snow, -7.515625, o, 0, 556.543945, 0, 0, 1, 1, 15, -103, 25247, 43d, 0, -27.960449
0, -4638289, , 27.345703, Y, 10, 2985.663086, 1, 0, 1, 0, 43, -10, 5434133, 5d, 1, 0.020203
1, -5042, wren, 0.000000, Q, 104, -619330.062500, 0, 1, 1, 1, 745, -9, -1322140, fffffffffffffff5, 1, -0.000092
0, -195941, cows, 41.835938, Y, 227, 0.083008, 1, 1, 1, 0, 1080, 3, -1585809593, 0, 1, 24953.253906
0, 385872132, , 119.914062, f, 89, 0.000977, 1, 0, 1, 1, 82, 4, -64, 86835f18bd9, 1, -0.000000
1, 1, value, 26.720703, 9, 0, -13.067383, 0, 0, 0, 1, 3487, 110, 8, 14f7824fb, 1, 914.138855
0, -17, dad, -61063.343750, +, 25, 198.219727, 1, 0, 0, 0, 1, 1, -9498, fff4cac4a10a7577, 1, -41.464294
0, 2823362, brush, -1427105.992188, _, 11, 0.744141, 0, 0, 1, 1, 294, 0, 1495651, 90244e79de78663b, 0, 8117.936523
1, 112488, copy, 50.453125, z, 102, 1.000000, 1, 1, 1, 1, 88, 1, -2, a96a1388c, 0, 1.000000
0, 211484, snow, -0.001953, o, 0, 556.543945, 0, 1, 1, 1, 15, -103, -304070651, 7b8b15a6b75c56a, 1, -27.960449
0, 946787, hen, -58.039062, 2, 4, -20.480469, 0, 0, 0, 1, 10, 8, 1, fffffffffe508553, 0, -0.397247
1, -47, view, -97.478516, J, 1, -8099.157227, 0, 1, 1, 0, 146, 125, 14929, ffff76a4155896f2, 0, 0.000000
